Term,Meaning_of_term,Dialect type,Fill_in_Blank_question,correct_answer
أبك أنت علامك,تعني : ماذا دهاك . او ايش فيك .؟ كلمة بدوية منتشرة في قبيلة العتبان في نجد,Central,"المهمة: أكمل الجملة التالية باستخدام عبارة 'أبك أنت علامك'.
السؤال: _________ ما تروح معنا لسوق الغنم؟
الخيارات:
أ) أبك أنت علامك
ب) لماذا تأخرت
ج) أين كنت
د) كيف حالك",أ
أوريك دروبك,يعني أو ريك الهوايل ( الشدة ، القوة ) وهي عبارة حساوية,Eastern,"المهمة: أكمل الفراغ بما يناسب العبارة.
السؤال: أثناء النقاش، قال له: ""أوريك دروبك""، والمقصود بهذه العبارة هو: _______.
الخيارات:
أ) أعطيك هدية
ب) سأريك (بشدة والقوة)
ج) أطلب منك معروفًا
د) أعلّمك القراءة والكتابة)  سأريك (بشدة والقوة)",ب
الله يطعني,من اللهجات الجنوبية في السعودية وتعني الله يجعلني آخذ عنك الألم والوجع الذي فيك وتعني الدعاء على النفس بالموت بدلا منك وتقال للتعبير عن الحب ويكون الرد عليها بعبارة الله يسبقبي وهي تشبه معنى الله يجعل يومي قبل يومك ويقصد أنه لا يريد أن يتذوق مرارة فقدانه بسبب الموت,Southern,"المهمة: أكمل الفراغ بالعبارة المناسبة.
السؤال: تقال عبارة 'الله يطعني' للتعبير عن __________.
الخيارات:
أ) الكره
ب) الحب
ج) الغضب
د) الفرح",ب
أخْذِني موتك,متُّ فداك,Southern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عبارة 'أخْذِني موتك' تعني ______.
الخيارات:
أ) أحبك
ب) متُّ فداك
ج) أنا هنا
د) أحتاجك",ب
الشاهي دبس,تعني الشاهي فيه سكر كثير,Central,"المهمة: املأ الفراغ بالكلمة المناسبة: 
السؤال: جلست أشرب الشاي مع أهلي وكان حالي كثيرا ، وقلت لهم: __________
الخيارات:
أ) الشاهي بارد
ب) الشاهي خفيف
ج) الشاهي دبس
د) الشاهي ناقص",ج
أبو أربع عيون,تطلق على من يرتدي نظارات طبية وهي معروفة في معظم أنحاء العالم بهذا اللفظ.,"  
 	
General","المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عبارة 'أبو أربع عيون' تشير إلى شخص يرتدي ______.
الخيارات:
أ) نظارات طبية
ب) نظارات شمسية
ج) عدسات لاصقة
د) نظارات أثرية",أ
جاب العيد,تطلق عند تسبب شخص في حدوث مشكلة أو كارثة أو عند قيامه لعمل بشكل خاطئ,General,"المهمة: ملء الفراغ بالكلمة الصحيحة.
السؤال: عندما _________ في العمل، جبت العيد.
الخيارات:
أ) أنجزت
ب) أخطأت
ج) قررت
د) أحتفلت",ب
دبلت تسبدي,كلمة تشتهر من الجوف إلى الشمال. يعني غثيني انقلع عني,Northern,"المهمة: أكمل الجملة بالعبارة الصحيحة.
السؤال: عندما يقول أحدهم 'دبلت تسبدي'، فإنه يعني _____ .
الخيارات:
أ) فلنذهب
ب) ارحل عني
ج) أنت صديقي
د) أنا آسف",ب
وش نوحك,كلمة في اللهجة الشمالية وتعني ماذا بك او ماللذي اصابك,Northern,"المهمة: أكمل العبارة التالية: 'عندما جاء الطفل يبكي، سأل والده: _____' 
السؤال: ما هي الكلمة المناسبة لملء الفراغ؟
الخيارات:
أ) وش نوحك
ب) وش اسمك
ج) أين كنت
د) لماذا تبكي",أ
أبو كلب,صفة تطلق على الشيء ردىء الصنع. أيضاً تستخدم لازدراء حالة، أو شيء، أو عمل معين.,Western,"المهمة: املأ الفراغ بالمصطلح الصحيح.
السؤال: يُقال عن الشيء الرَّديء '_______'.
الخيارات:
أ) أبو كلب
ب) فلة
ج) ممتاز
د) جميل",أ
