Term,Meaning_of_term,Dialect type,Contextual_Usage_question,correct_answer
أبخص,أبخص تعني أعلم يالشئ,General,"المهمة: اختر الجملة التي تستخدم فيها الكلمة بشكل صحيح.
السؤال: أي من الجمل التالية تحتوي على الاستخدام الصحيح لكلمة 'أبخص'؟
الخيارات:
أ) الناس أبصرو، والحكم أبخص.
ب) هو أبخص في الموضوع.
ج) هي أبخص لكنها لا تعرف.
د) لقد ذهب أبخص كل شيء.",ب
أويلاوه,كلمة تستخدم في القصيم بمعنى: الرجاء والطلب مثال: أويلاوه يا الدحمي معك عفريته ؟ أي : رجاء يا عبدالرحمن هل لديك رافعة عجلات >> الله من زين التعريب خخ,Central,"المهمة: اختيار الاستخدام الأنسب لكلمة 'أويلاوه' في سياق.
السؤال: أي من الجمل التالية تستخدم كلمة 'أويلاوه' بشكل صحيح؟
الخيارات:
أ) أويلاوه، رح نفطر مع بعض؟
ب) أويلاوه، أنا منهزم!
ج) أويلاوه، سأذهب للنوم.
د) أويلاوه، الجو حار.",أ
احتريك,أحْتِرِيك انتظرك أحْتِرلي انتظرلي أحترني انتظرني,Central,"المهمة: اختر الجملة التي تستخدم فيها 'احتريك' بشكل صحيح.
السؤال: أي من الجمل التالية تحتوي على استخدام صحيح لكلمة 'احتريك'؟
الخيارات:
أ) كنت في السوق واحتريك.
ب) احتريك وأحبك.
ج) احتريك سيكون هناك.
د) لا أريد احتريك.",أ
هذره,كثرة السواليف و التشكي,Central,"المهمة: اختر الجملة التي تستخدم فيها كلمة 'هذره' بشكل صحيح.
السؤال: أي من الجمل التالية تستخدم كلمة 'هذره' بشكل صحيح؟
الخيارات:
أ) أنا أحب الهذره مع الأصدقاء.
ب) الجو جميل اليوم.
ج) الكتاب على الطاولة.
د) الطعام لذيذ.",أ
ازهله,"""ازهله"": كلمة جزم تُقال عندما يُطلب من شخص أمر معين وتعني أن هذا الأمر قد تمّ لامحاله.",General,"المهمة: اختر المثال الذي يظهر استخدام كلمة 'ازهله' بشكل صحيح.
السؤال: أي من الجمل التالية تستخدم كلمة 'ازهله' بشكل صحيح؟
الخيارات:
أ) أنا احب الكتب
ب) إذا كنت بحاجة إلى مساعدة، قل لي، سأاذهلك
ج) لنذهب إلى السوق
د) أحتاج إلى توضيح، ازهله.",ب
أطقطق,-أقضي مع شخص وقتًا في السوالف والمزاح . ,General,"المهمة: اختر الاستخدام الصحيح لكلمة 'أطقطق' في الجملة.
السؤال: في أي سياق يمكن أن تستخدم كلمة 'أطقطق'؟
الخيارات:
أ) عندما نتحدث عن السفر
ب) عندما نلعب كرة القدم
ج) عندما نقضي وقتاً ممتعاً مع الأصدقاء
د) عندما نعمل في المكتب",ج
أَبْرَقْ,(عند أهل السراة) الأبرق صاحب العيون الخضراء والمرأة برقاء. وقد يكنى الرجل الأبرق فيقال بريق مخففة ووزنها الفصيح بُرَيْقْ.,Southern,"المهمة: اختر الاستخدام الصحيح لكلمة 'أَبْرَقْ' في سياق جملة.
السؤال: أي الجمل التالية تحتوي على الاستخدام الصحيح لكلمة 'أَبْرَقْ'؟
الخيارات:
أ) محمد يكون أَبْرَقْ بألوانه
ب) أنا ذهبت إلى السوق
ج) الكتاب موجود في المكتبة
د) فاطمة أَبْرَقْت لأخواتها",د
أبكّ,كلمة تستخدم لجلب الأنتباه لجمله تتلو كلمة ابك تأتي ايضا للأستهجان,Central,"المهمة: اختر الجملة التي تستخدم فيها 'أبكّ' بشكل صحيح.
السؤال: أي من الجمل التالية تستخدم 'أبكّ' بشكل صحيح؟
الخيارات:
أ) أبكّ انت خلك قريب
ب) أبكّ أنا أريد الذهاب
ج) أبكّ الجو جميل اليوم
د) كلنا نحب القهوة",أ
هيلمه,تهويل المواضيع,Southern,"المهمة: ما هو الاستخدام الصحيح لكلمة ""هيلمه"" في السياق؟
السؤال: عندما يقول شخص عن موقف بسيط إنه ""هيلمه""، ماذا يقصد عادةً؟
الخيارات:
أ) أن الموقف خطير فعلًا
ب) أن الموضوع أُعطي أكبر من حجمه
ج) أن الموقف مضحك
د) أن الموضوع سري",ب
كفو,كفو باللهجة السعودية تعني احسنت . انت قد المسؤوية رائع ((كفؤ)),General,"المهمة: اختر الجملة التي تستخدم فيها كلمة 'كفو' بشكل صحيح.
السؤال: أي من الجمل التالية يتضمن استخدامًا صحيحًا لكلمة 'كفو'؟
الخيارات:
أ) أنت كفو في العمل.
ب) الجو كفو اليوم.
ج) هذه الفكرة كفو.
د) هذا كتاب كفو.",أ
