Term,Meaning_of_term,Dialect type,Fill_in_Blank_question,correct_answer
إذا حجت البقرة على قرونها,بمعنى المستحيل ولايمكن وقوعة,General,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: المثل ""إذا حجت البقرة على قرونها"" يعبر عن _______ شيء غير ممكن أو مستحيل.
الخيارات:
A) إمكانية
B) استحالة
C) فرصة
D) توقع) استحالة",B
أَدْنَى حَمُول غَانا راعِيه,(عند أهل السراة) تستخدم بمعنى أن الأنسان يعيش على أدنى الميسور والموجود. وهي تفيد القناعة. أدنى: أقل. حمول: ما يحمل على الجمل وهي هنا ما تقتنيه. غانا: لغة في أغنى. راعيه: صاحبه.,Southern,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: يُقال المثل ""أدْنَى حَمُول غَانا راعِيه"" لمن _______ بالقليل ولم يسعَ إلى المزيد.
الخيارات:
A) رضي
B) طمع
C) خسر
D) بالغ) رضي",A
أن كان مالك من ذراعك نجده شربك على يدين الرجال هماج,هي بالأساس بيت قصيد، لكن أُستخدم كمثل ومعناها أنك ستتعرض للمذلة، أن لم تعتمد على نفسك,Central,"المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية.
السؤال: يُقال المثل ""إن كان مالك من ذراعك نجده، شربك على يدين الرجال هماج"" لمن _______ على نفسه في كسب رزقه.
الخيارات:
A) اعتمد
B) أهمل
C) تردد
D) رفض) اعتمد",A
إلي يجيك أحسن من إلي ترحلو,مثل معناه: إلي يفكر فيك أحسن من إلي تفكر فيه.,Western,"المهمة: أكمل الفراغ بما يناسب.
السؤال: المثل 'إلي يجيك أحسن من إلي ترحلو' يدل على أن __________.
الخيارات:
أ) الشخص الذي يهتم بك أفضل
ب) الهجر أفضل من الزيارة
ج) الرحيل أفضل من الزيارة
د) التفكير هو المهم",أ
ابن صلمعه بن قلمعه ما تنفع معاه الحيل المجمعه,وصَلْمَعةُ‎ ‎بن‎ قَلْمَعةَ: كناية عمن لا يعرف ولا يُعْرَفُ أَبوه وهذا المثل يقال عند ذم الشخص,Central,"المهمة: أكمل الفراغ في الجملة.
السؤال: يستخدم المثل 'ابن صلمعه بن قلمعه ما تنفع معاه الحيل المجمعه' للحديث عن __________.
الخيارات:
أ) القوة والشجاعة
ب) الغباء والعناد
ج) الفخر والاعتزاز
د) القيم والمبادئ",ب
ابو فرفور ذنبو مغفور,اللي نحبه نغفرله كل شي,Western,"المهمة: أكمل الجملة بما يناسب العبارة.
السؤال: تُستخدم عبارة 'ابو فرفور ذنبو مغفور' للدلالة على أن _____.
الخيارات:
أ) الأخطاء مبررة للناس المقربين
ب) العقوبة ضرورية للجميع
ج) الحب لا يغفر الأخطاء
د) الفشل نهاية الطريق",أ
اجري يا مشكاح للي قاعد مرتاح,المِشْكاح يُراد به كثير السعي والحركة، ويُضرب لمن يأتيه رزقه من سعي غيره بلا طلب منه,Western,"المهمة: أكمل الجملة بالاختيار المناسب.
السؤال: المثل 'اجري يا مشكاح للي قاعد مرتاح' يدل على ضرورة ________.
الخيارات:
أ) التخلي عن العمل
ب) السعي والتعب
ج) الاسترخاء دائمًا
د) التراخي",ب
ازا اكلو العنب عليك قول حامض,تنقال لماً واحد يقعد متكرن عشان فاتو شي حلو مثل مشهور في الطايف,Western,"المهمة: أكمل الجملة التالية.
السؤال: يمكن استخدام المثل 'ازا اكلو العنب عليك قول حامض' في الحالات التي يشعر فيها الشخص _____ .
الخيارات:
أ) بالإحباط
ب) بالسعادة
ج) بالانتقاد
د) بالحنين",أ
استعرنا مشطها المرجان لقيناه مليان صيصان,احيانا نغتر بحال بعض الناس ونتفاجأ بأنهم عكس ما يظهرون,Western,"المهمة: املأ الفراغ بالكلمة الصحيحة.
السؤال: تستخدم العبارة 'استعرنا مشطها المرجان لقيناه مليان _______' للإشارة إلى...
الخيارات:
أ) حلاوة
ب) صيصان
ج) مناسب
د) جدوى",ب
الثالثة ثابتة,"تعني أن ""المحاولة الثالثة ستنجح"". ك(تنبأ)",General,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: القول 'الثالثة _______' يعني أن المحاولة الثالثة ستنجح.
الخيارات:
أ) فاشلة
ب) ثابتة
ج) مكررة
د) بعيدة",ب
اقولة تيس يقول احلبة,افولة تيس يقول احلبة : يعني ماتفهم انت مافي معلوم,General,"المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية.  
السؤال: ""مثل 'اقولة تيس يقول احلبة' يُعبر عن ____.""  
الخيارات:  
A) معرفة دقيقية  
B) جهل وعدم فهم  
C) حذر دائم  
D) غطرسة",B
البيض الفاسد يتدردب على بعضو,يعني انو الناس الخربانه الفاسده تخرب الكويسيين ويسيرو فاسدين زيهم,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: 'البيض الفاسد _____ على بعضو.'
الخيارات:
أ) يتدردب
ب) يتجمع
ج) يتحطم
د) يتجمد",أ
