Term,Meaning_of_term,Dialect type,Contextual_Usage_question,correct_answer
أبك أنت علامك,تعني : ماذا دهاك . او ايش فيك .؟ كلمة بدوية منتشرة في قبيلة العتبان في نجد,Central,"المهمة: اختر الاستخدام الصحيح لعبارة 'أبك أنت علامك' في سياق مناسب.
السؤال: أين يمكن استخدام عبارة 'أبك أنت علامك' بشكل مناسب؟
الخيارات:
أ) عند طرح سؤال عن حال شخص
ب) عند تقديم تهنئة
ج) عند طلب المساعدة
د) عند الاعتذار",أ
أوريك دروبك,يعني أو ريك الهوايل ( الشدة ، القوة ) وهي عبارة حساوية,Eastern,"المهمة: اختر الاستخدام الصحيح للعبارة في سياقها.
السؤال: في أي موقف يمكن استخدام عبارة 'أوريك دروبك؟
الخيارات:
أ) عند الحديث عن فراق الأصدقاء
ب) عند دعوة شخص ليبتعد
ج) عند مناقشة أهمية العمل
د) عند قول وداع لشخص مسافر",أ
الله يطعني,من اللهجات الجنوبية في السعودية وتعني الله يجعلني آخذ عنك الألم والوجع الذي فيك وتعني الدعاء على النفس بالموت بدلا منك وتقال للتعبير عن الحب ويكون الرد عليها بعبارة الله يسبقبي وهي تشبه معنى الله يجعل يومي قبل يومك ويقصد أنه لا يريد أن يتذوق مرارة فقدانه بسبب الموت,Southern,"المهمة: اختر الاستخدام الصحيح للعبارة.
السؤال: في أي موقف يمكن استخدام عبارة 'الله يطعني'؟
الخيارات:
أ) عند نجاح شخص مقرب
ب) عند فقدان أحد الأحبة
ج) عند الاحتفال بمناسبة سعيدة
د) عند التعرف على أصدقاء جدد",ب
أخْذِني موتك,متُّ فداك,Southern,"المهمة: اختر الجملة التي تحتوي على العبارة بنفس السياق.
السؤال: أي من الجمل التالية تعكس استخدام عبارة 'أخْذِني موتك'؟
الخيارات:
أ) قومي بالبحث عن حل
ب) كنت أود أن أكون معك
ج) أخْذِني موتك، أنا مستعد لأي شيء
د) سأعود لاحقاً",ج
الشاهي دبس,تعني الشاهي فيه سكر كثير,Central,"المهمة: اختر السياق الأنسب .
السؤال: في أي موقف من المناسب أن تقول ""الشاهي دبس""؟
الخيارات:
أ) عندما يقدم لك شاي محلى بشكل مفرط
ب) عندما لا يوجد شاي على الطاولة
ج) عندما تنسى سكر الشاي
د) عندما يكون الشاي بدون نكهة",أ
أبو أربع عيون,تطلق على من يرتدي نظارات طبية وهي معروفة في معظم أنحاء العالم بهذا اللفظ.,"  
 	
General","المهمة: اختر الاستخدام الصحيح للعبارة.
السؤال: أي من الجمل التالية تستخدم عبارة 'أبو أربع عيون' بشكل صحيح؟
الخيارات:
أ) شفت أبو أربع عيون في السوق، كان طالع عيونه!
ب) أبو أربع عيون لازم يشتري سيارة جديدة.
ج) أبو أربع عيون يحب الأكل.
د) أبو أربع عيون يفكر في السفر.",أ
جاب العيد,تطلق عند تسبب شخص في حدوث مشكلة أو كارثة أو عند قيامه لعمل بشكل خاطئ,General,"المهمة: اختيار الجملة التي تستخدم فيها العبارة بشكل صحيح.
السؤال: أي من الجمل التالية تستخدم 'جاب العيد' بشكل صحيح؟
الخيارات:
أ) أحتاج أن أفكر قبل أن أتكلم
ب) جبت العيد لما نسيت موعد الاجتماع
ج) رحلت بعيد عن المشاكل
د) كنت محظوظ اليوم",ب
دبلت تسبدي,كلمة تشتهر من الجوف إلى الشمال. يعني غثيني انقلع عني,Northern,"المهمة: حدد الوضع الذي يمكن فيه استخدام الجملة 'دبلت تسبدي'.
السؤال: في أي حالة تُستخدم عبارة 'دبلت تسبدي'?
الخيارات:
أ) عند تلقي هدية
ب) عند الرغبة في إنهاء محادثة
ج) عند الإشارة إلى الحب
د) عند الاعتذار",ب
وش نوحك,كلمة في اللهجة الشمالية وتعني ماذا بك او ماللذي اصابك,Northern,"المهمة: اختر السياق الأنسب لاستخدام 'وش نوحك'.
السؤال: في أي موقف يمكن أن تُستخدم عبارة 'وش نوحك'؟
الخيارات:
أ) عند الاستقبال
ب) عند الفراق
ج) عند رؤية شخص يبكي
د) عند السؤال عن الطقس",ج
أبو كلب,صفة تطلق على الشيء ردىء الصنع. أيضاً تستخدم لازدراء حالة، أو شيء، أو عمل معين.,Western,"المهمة: اختر الجملة التي تُستخدم فيها العبارة بشكل صحيح.
السؤال: أي من الجمل التالية تستخدم عبارة 'أبو كلب' بشكل صحيح؟
الخيارات:
أ) السيارة الجديدة لأحمد رائعة والألوان جميلة.
ب) محمد يحب مدرسته الجديدة، يقول إنها أبو كلب!
ج) نحن نذهب للنزهة في الغابة.
د) الفلم الجديد ممتاز، لم يعجبني.",ب
خاوره عليك,تقولها الانثى اذا تضايقت وتعني زعلانه منك,Southern,"المهمة: اختر الجملة التي تُظهر الاستخدام الصحيح للعبارة .
السؤال: في أي موقف من المناسب أن تقول ""خاوره عليك""؟
الخيارات:
أ) إذا شخص زعلان منك وما رد على رسائلك
ب) إذا أحد قدم لك هدية
ج) إذا التقيت بشخص لأول مرة
د) إذا كنت تمدح أحد",أ
اندر بره,اخرج,Western,"المهمة: اختر الخيار الأفضل الذي يعبر عن استخدام التعبير في سياق مناسب.
السؤال: أي الجمل التالية تستخدم عبارة (اندر بره) استخدامًا صحيحًا؟
الخيارات:
أ) قال له اندر بره عندما أراد أن يطلب المساعدة
ب) قال له اندر بره ليشكره على حضوره
ج) قال له اندر بره عندما أراد إخراجه من المكان
د) قال له اندر بره عند الترحيب بالضيوف",ج
أديلو جنط,يعني اسحب على ابو شكلو طنش,Western,"المهمة: اختر الخيار الذي يمكن أن يتحدث به شخص سعودي في سياق استخدام عبارة 'أديلو جنط'.
السؤال: في أي سياق يمكن استخدام عبارة 'أديلو جنط'؟
الخيارات:
أ) عند طلب المساعدة
ب) عند عدم الرد على الاتصال
ج) عند السفر
د) عند تناول الطعام",ب
ما عليك زود,معناها ما تقصر او لا زيادة عليك,General,"المهمة: اختر الخيار الأفضل الذي يعبر عن استخدام التعبير في سياق مناسب.
السؤال: أي الجمل التالية تستخدم عبارة (ما عليك زود) استخدامًا صحيحًا؟
الخيارات:
أ) ما عليك زود، اطلع من المكان الآن
ب) ما عليك زود على مساعدتك لنا اليوم
ج) ما عليك زود وقت الامتحان
د) ما عليك زود عند بداية الاجتماع",ب
يا بعد حيي,يعني يا بعد روحي وحياتي، تعبير عن المحبة الشديدة والتودد,Central,"المهمة: اختر المعنى الصحيح في سياق الاستخدام.
السؤال: متى يكون من المناسب أن تقول ""يا بعد حيي""؟
الخيارات:
أ) عند استقبال شخص عزيز أو غالٍ على القلب
ب) عند تقديم شكوى
ج) أثناء مقابلة عمل
د) عند الخلاف مع شخص",أ
أرهيت بالقطيعة,كدت أن أفقد الأمل,Western,"المهمة: اختر الجملة الصحيحة التي تُظهر استخدام العبارة في سياق معين.
السؤال: أي من الجمل التالية تستخدم عبارة 'أرهيت بالقطيعة' بشكل صحيح؟
الخيارات:
أ) قررت أن أسافر بعد أن أرهيت بالقطيعة
ب) أكلت فطيرة مع الشاي
ج) كان الجو جميلاً في السيارة
د) تقابلت مع الأصدقاء في المقهى",أ
