Term,Meaning_of_term,Dialect type,Meaning_question,correct_answer
أبخص,أبخص تعني أعلم يالشئ,General,"المهمة: حدد المعنى الصحيح للكلمة.
السؤال: ماذا تعني كلمة 'أبخص'؟
الخيارات:
أ) أعلم بالشئ
ب) جاهل بالشئ
ج) بعيد عن الموضوع
د) متردد في القرار",أ
أويلاوه,كلمة تستخدم في القصيم بمعنى: الرجاء والطلب مثال: أويلاوه يا الدحمي معك عفريته ؟ أي : رجاء يا عبدالرحمن هل لديك رافعة عجلات >> الله من زين التعريب خخ,Central,"المهمة: اختيار المعنى الصحيح لكلمة 'أويلاوه'.
السؤال: ما هو المعنى الصحيح لكلمة 'أويلاوه'؟
الخيارات:
أ) طلب ورجاء
ب) رفض واستنكار
ج) حزن وصمت
د) فرح ومباركة",أ
احتريك,أحْتِرِيك انتظرك أحْتِرلي انتظرلي أحترني انتظرني,Central,"المهمة: حدد المعنى الصحيح لكلمة 'احتريك'.
السؤال: ما هو المعنى لكلمة 'احتريك'؟
الخيارات:
أ) انتظرتك
ب) أريدك
ج) سأذهب
د) أفتقدك",أ
هذره,كثرة السواليف و التشكي,Central,"المهمة: اختر المعنى الصحيح لكلمة 'هذره'.
السؤال: ما هو المعنى الصحيح لكلمة 'هذره'؟
الخيارات:
أ) قلة الكلام
ب) كثرة السواليف والتشكي
ج) الهدوء
د) السعادة",ب
ازهله,"""ازهله"": كلمة جزم تُقال عندما يُطلب من شخص أمر معين وتعني أن هذا الأمر قد تمّ لامحاله.",General,"المهمة: حدد المعنى الصحيح لكلمة 'ازهله'.
السؤال: ما معنى كلمة 'ازهله'؟
الخيارات:
أ) كلمة تدل على الاستحالة
ب) كلمة تُستخدم للتعبير عن التردد
ج) كلمة تشير إلى التأجيل
د) كلمة تدل على القبول",أ
أطقطق,-أقضي مع شخص وقتًا في السوالف والمزاح . ,General,"المهمة: حدد ما هو المعنى الصحيح لكلمة 'أطقطق'.
السؤال: ما هو المعنى الصحيح لكلمة 'أطقطق'؟
الخيارات:
أ) الضغط على أزرار الكي بورد
ب) السوالف مع الأصدقاء
ج) فرقعة الأصابع
د) جميع ما سبق",د
أَبْرَقْ,(عند أهل السراة) الأبرق صاحب العيون الخضراء والمرأة برقاء. وقد يكنى الرجل الأبرق فيقال بريق مخففة ووزنها الفصيح بُرَيْقْ.,Southern,"المهمة: اختر المعنى الصحيح لكلمة 'أَبْرَقْ'.
السؤال: ما هو معنى كلمة 'أَبْرَقْ' عند أهل السراة؟
الخيارات:
أ) شخص ذو عيون زرقاء
ب) شخص ذو عيون خضراء
ج) شخص قصير القامة
د) شخص قوي البنية",ب
أبكّ,كلمة تستخدم لجلب الأنتباه لجمله تتلو كلمة ابك تأتي ايضا للأستهجان,Central,"المهمة: حدد المعنى الصحيح لكلمة 'أبكّ'.
السؤال: ما هو المعنى لكلمة 'أبكّ'؟
الخيارات:
أ) تستخدم لجلب الإنتباه لجملة تتلوها
ب) تعني الاستحسان
ج) تستخدم للدلالة على النشاط
د) تشير إلى المكانة الاجتماعية",أ
هيلمه,تهويل المواضيع,Southern,"المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية.
السؤال: ماذا تعني كلمة ""هيلمه""؟
الخيارات:
A) تبسيط الأمور
B) تجاهل الموضوع
C) تكبير الموضوع والمبالغة فيه
D) إنهاء النقاش",C
كفو,كفو باللهجة السعودية تعني احسنت . انت قد المسؤوية رائع ((كفؤ)),General,"المهمة: اختر المعنى الصحيح لكلمة 'كفو'.
السؤال: ماذا تعني كلمة 'كفو' باللهجة السعودية؟
الخيارات:
أ) جيد جدًا
ب) ضعيف
ج) ممتاز
د) غير جيد",أ
الشدوق,الخدود  من الطايف,Western,"المهمة: حدد المعنى الصحيح لكلمة 'الشدوق'.
السؤال: ما هو معنى كلمة 'الشدوق'؟
الخيارات:
أ) الابتسامة
ب) الخدود من الطايف
ج) الدموع
د) الغضب",ب
عفش,بفتح جميع الاحرف وشدة العين مجموعة من الاغراض,Western,"المهمة: اختر المعنى الصحيح لكلمة 'عفش'.
السؤال: ما هو المعنى الصحيح لكلمة 'عفش'؟
الخيارات:
أ) أدوات المطبخ
ب) مجموعة من الأغراض
ج) ملابس
د) كتب",ب
علاسب,مصطلح من لهجة غامد علاسب=علشان,Southern,"المهمة: حدد المعنى الصحيح لكلمة 'علاسب'.
السؤال: ما هو معنى 'علاسب' في لهجة غامد؟
الخيارات:
أ) بسبب
ب) مع
ج) في
د) لكن",أ
بَكّاش,كذاب,Western,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة.
السؤال: ما هو المعنى الصحيح لكلمة ""بَكّاش""؟
الخيارات:
A) صادق 
B) كذاب 
C) حكيم 
D) غني",B
كلجة,اي اخطا او قال كلمات غير صحيحة . كلام مكسر.,Western,"المهمة: حدد المعنى الصحيح لكلمة 'كلجة'.
السؤال: ما معنى كلمة 'كلجة' في اللهجة الحجازية؟
الخيارات:
أ) كلام غير صحيح
ب) محاولة للتواصل
ج) لغة رسمية
د) مصطلح شعري",أ
وشوله,لماذا,Central,"### نوع السؤال: معنى
المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية. 
السؤال: ما معنى كلمة ""وشوله"" في اللهجة السعودية؟ 
الخيارات: 
A) كيف 
B) لماذا 
C) أين 
D) متى",B
أبي,أريد,Central,"المهمة: اختر المعنى الصحيح لكلمة 'أبي'.
السؤال: ما معنى كلمة 'أبي' في اللهجة السعودية؟
الخيارات:
أ) أريد
ب) أخي
ج) أمي
د) هيا",أ
أترنو,"""أترنو"" كلمه تعني أو قريبه من معنى لكنه",Western,"المهمة: حدد المعنى الصحيح لكلمة 'أترنو'.
السؤال: ماذا تعني كلمة 'أترنو'؟
الخيارات:
أ) تعني ستكون مضطراً
ب) تعني أمر غير مؤكد
ج) تعني أو قريبة من معنى 'لكنه'
د) تعني أن الأمر سهل",ج
تفشلنا,أحرجتنا أو سببت لنا إحراج,General,"المهمة: حدد المعنى الصحيح لكلمة 'تفشلنا'.
السؤال: ما هو المعنى الذي تعبر عنه كلمة 'تفشلنا'؟
الخيارات:
أ) أفرحتنا
ب) أحرجتنا
ج) تجاهلتنا
د) كافأتنا",ب
أتعيا,أتعيا يعني (اتساءل) و غالبا ما يقال (أتعيا به) و يستخدمها العسيريون القدامى,Southern,"المهمة: اختر المعنى الصحيح لكلمة 'أتعيا'
السؤال: ما معنى كلمة 'أتعيا'؟
الخيارات:
أ) أستفسر
ب) أخبر
ج) ألعب
د) أتعلم",أ
أتمتة,مُؤَتْمَت ، تأتمت ، أتمَتة عملية إتمام الشيء بنفسه ، انجاز العمل بشكل تلقائي مثل الطيار الآلي قيادته مؤتمتة وآلات المصانع مؤتمته,General,"المهمة: حدد المعنى الصحيح لكلمة 'أتمتة'.
السؤال: ما معنى كلمة 'أتمتة'؟
الخيارات:
أ) جعل العمل ينجز بشكل يدوي
ب) إنجاز العمل بشكل تلقائي
ج) تقليل تكلفة الإنتاج
د) توظيف العمالة الزائدة",ب
أتوطى,أتوطى كلمة جنوبية بمعنى أدوس,Central,"المهمة: اختيار المعنى الصحيح لكلمة 'أتوطى'.
السؤال: ما هو معنى كلمة 'أتوطى' في اللهجة العربية السعودية؟
الخيارات:
أ) أدوس
ب) أذهب
ج) أركض
د) أستريح",أ
هبشة,أي كثير في المنطقة الشرقية ,Eastern,"المهمة: حدد المعنى الصحيح لكلمة ""هبشة""
السؤال: ما معنى كلمة ""هبشة""؟
الخيارات:
أ) خطوة سريعة
ب) لمسة خفيفة
ج) كمية كبيرة
د) صوت قوي",ج
اتشعبط, أتسلق او تمسك,Western,"المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية.
السؤال: ماذا يعني فعل ""اتشعبط"" في اللهجة السعودية؟
الخيارات:
A) يهرب
B) يتسلق أو يمسك بقوة
C) يجلس
D) يصرخ",B
