Term,Meaning_of_term,Dialect type,True_False_question,correct_answer
أبخص,أبخص تعني أعلم يالشئ,General,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'أبخص تعني أن الشخص على علم بالشئ' صحيحة.
الخيارات:
أ) صحيح
ب) خطأ",أ
أويلاوه,كلمة تستخدم في القصيم بمعنى: الرجاء والطلب مثال: أويلاوه يا الدحمي معك عفريته ؟ أي : رجاء يا عبدالرحمن هل لديك رافعة عجلات >> الله من زين التعريب خخ,Central,"المهمة: تحديد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'أويلاوه' تُستخدم في القصيم بمعنى: الرجاء والطلب.
الخيارات:
أ) صحيح
ب) خاطئ",أ
احتريك,أحْتِرِيك انتظرك أحْتِرلي انتظرلي أحترني انتظرني,Central,"المهمة: حدد إذا كانت الجملة التالية صحيحة أم خاطئة.
السؤال: الجملة 'احتريك تعني أحترني' صحيحة.
الخيارات:
أ) صحيح
ب) خطأ",أ
هذره,كثرة السواليف و التشكي,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'هذره' تعني قلة الكلام.
الخيارات:
أ) صحيح
ب) خطأ",ب
ازهله,"""ازهله"": كلمة جزم تُقال عندما يُطلب من شخص أمر معين وتعني أن هذا الأمر قد تمّ لامحاله.",General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'ازهله' تعني أنه تمت الاستجابة للطلب بشكل سريع.
الخيارات:
أ) صحيح
ب) خاطئ",ب
أطقطق,-أقضي مع شخص وقتًا في السوالف والمزاح . ,General,"المهمة: تحديد مدى صحة العبارة.
السؤال: عبارة 'أطقطق' تعني فقط المزاح مع الأصدقاء.
الخيارات:
أ) صحيح
ب) خطأ",ب
أَبْرَقْ,(عند أهل السراة) الأبرق صاحب العيون الخضراء والمرأة برقاء. وقد يكنى الرجل الأبرق فيقال بريق مخففة ووزنها الفصيح بُرَيْقْ.,Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'أَبْرَقْ' تشير إلى رجل ذو عيون خضراء.
الخيارات:
أ) صحيح
ب) خطأ",أ
أبكّ,كلمة تستخدم لجلب الأنتباه لجمله تتلو كلمة ابك تأتي ايضا للأستهجان,Central,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'أبكّ' تشير إلى الاستهجان.
الخيارات:
أ) صحيح
ب) خطأ",أ
هيلمه,تهويل المواضيع,Southern,"المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية.
السؤال: كلمة ""هيلمه"" تُستخدم لوصف تضخيم الموضوع أكثر من اللازم.
الخيارات:
A) صحيح
B) خطأ",A
كفو,كفو باللهجة السعودية تعني احسنت . انت قد المسؤوية رائع ((كفؤ)),General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'كفو' تعني 'أنت ضعيف'.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة:",
الشدوق,الخدود  من الطايف,Western,"المهمة: قراءة العبارة وتحديد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة 'الشدوق تعني الخدود من الطايف' صحيحة.
الخيارات:
أ) صحيح
ب) خطأ",أ
عفش,بفتح جميع الاحرف وشدة العين مجموعة من الاغراض,Western,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة:
السؤال: كلمة 'عفش' تُستخدم للدلالة على مجموعة من الأغراض.
الخيارات:
أ) صحيحة
ب) خاطئة",أ
علاسب,مصطلح من لهجة غامد علاسب=علشان,Southern,"المهمة: تحديد صحة العبارة.
السؤال: العبارة 'علاسب تعني لأن' صحيحة.
الخيارات:
أ) صحيح
ب) خطأ",ب
بَكّاش,كذاب,Western,"### نوع السؤال: صحيح/خطأ
المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية.
السؤال: كلمة ""بَكّاش"" تعني ""صادق"".
الخيارات:
A) صحيح 
B) خطأ 
التفسير: لأن الكلمة تعني ""كذاب"".",B
كلجة,اي اخطا او قال كلمات غير صحيحة . كلام مكسر.,Western,"المهمة: احرص على تحديد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'كلجة' تعني 'كلام مكسر' في اللهجة الحجازية.
الخيارات:
أ) صحيح
ب) خاطئ",أ
وشوله,لماذا,Central,"### نوع السؤال: صحيح/خطأ
المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية. 
السؤال: العبارة ""وشوله تعبت نفسك"" تعني ""لماذا تعبت نفسك"". 
الخيارات: 
A) صحيح 
B) خطأ",A
أبي,أريد,Central,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'أبي' تعني 'أريد' في اللهجة السعودية.
الخيارات:
أ) صحيح
ب) خطأ",أ
أترنو,"""أترنو"" كلمه تعني أو قريبه من معنى لكنه",Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'أترنو' تُستخدم دائماً للإشارة إلى الصدق.
الخيارات:
أ) صحيح
ب) خاطئ",ب
تفشلنا,أحرجتنا أو سببت لنا إحراج,General,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم كلمة 'تفشلنا' للتعبير عن موقف سبب إحراجًا.
الخيارات:
أ) صحيح
ب) خاطئ",أ
أتعيا,أتعيا يعني (اتساءل) و غالبا ما يقال (أتعيا به) و يستخدمها العسيريون القدامى,Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: 'أتعيا' كلمة تستخدم في اللهجة الحجازية فقط.
الخيارات:
أ) صحيح
ب) خاطئ",ب
أتمتة,مُؤَتْمَت ، تأتمت ، أتمَتة عملية إتمام الشيء بنفسه ، انجاز العمل بشكل تلقائي مثل الطيار الآلي قيادته مؤتمتة وآلات المصانع مؤتمته,General,"المهمة: اختر إذا كانت العبارة صحيحة أم خاطئة.
السؤال: أتمتة تعني القيام بكل الأعمال بدون أي تدخل بشري.
الخيارات:
أ) صحيح
ب) خاطئ",ب
